City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Imeni Poliny Osipenko,RU,60.04,broken clouds,52.4201,136.4853,Yubileynaya
410,Poum,NC,70.5,overcast clouds,-20.2333,164.0167,Gîte kajeon
413,Ustynivka,UA,66.58,few clouds,47.9551,32.5367,
414,Bandarbeyla,SO,78.22,overcast clouds,9.4942,50.8122,JABIR HOTEL
415,Saraza,PH,79.21,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
418,Skwierzyna,PL,67.68,overcast clouds,52.5991,15.5065,Kancelaria Księgowa - Katarzyna Mazur
419,Mago,RU,62.65,clear sky,53.2514,140.1822,
421,Ngudu,TZ,71.02,few clouds,-2.9667,33.3333,Majani Classic Lodge
423,Escanaba,US,86.67,clear sky,45.7453,-87.0646,Sunset Lodge
425,Sambava,MG,66.45,clear sky,-14.2667,50.1667,Melrose
426,Salalah,OM,75.24,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
427,Tambura,SS,67.59,overcast clouds,5.6,27.4667,Rikito Lodge
428,Blagoyevo,RU,59.29,overcast clouds,63.3667,47.9167,
429,Yeppoon,AU,58.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
430,Gander,CA,82.53,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
431,Saldanha,ZA,55.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
432,San Luis,AR,65.8,overcast clouds,-33.295,-66.3356,Huarpes Hotel
433,Phan Thiet,VN,75.51,overcast clouds,10.9333,108.1,Hotel Saigon-PT
434,Marang,MY,76.91,overcast clouds,5.2056,103.2059,DBarakah Homestay
436,Fujin,CN,61.9,scattered clouds,47.26,132.0322,Xilong Hotel Fujin Shop
437,Ampanihy,MG,59.83,clear sky,-24.7,44.75,Angora Hotel
438,Camopi,GF,80.65,scattered clouds,3.1655,-52.3158,
441,Kalmar,SE,62.96,clear sky,56.6616,16.3616,First Hotel Witt
442,Noumea,NC,60.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
444,Burayevo,RU,62.31,broken clouds,55.8407,55.4083,"Gostnitsa ""Tanyp"""
447,Moranbah,AU,56.21,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
448,Lodeynoye Pole,RU,53.83,overcast clouds,60.726,33.5531,Svir Mini-Hotel
450,Pasinler,TR,63.59,scattered clouds,39.9803,41.6764,Kır Evi (Dağa Yakın)
451,Fayaoue,NC,71.24,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
453,Chhata,IN,88.61,broken clouds,27.7167,77.5,PG Hostel
454,Ormara,PK,79.03,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
455,Linqiong,CN,73.22,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
456,Dhuburi,IN,78.15,broken clouds,26.0333,89.9667,Hotel Samrat
457,Mocuba,MZ,62.26,few clouds,-16.8392,36.9856,Phama Lodge
458,Turka,UA,66.25,broken clouds,49.1541,23.0297,Мотель
459,Inuvik,CA,58.21,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
460,Mabaruma,GY,77.05,broken clouds,8.2,-59.7833,Monty Brooms Guest House
462,Zhanakorgan,KZ,68.72,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
463,Margate,GB,65.7,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
464,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
465,Lipari,IT,83.79,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
466,Haines Junction,CA,55.35,broken clouds,60.7522,-137.5108,Parkside Inn
468,La Maddalena,IT,80.65,clear sky,41.2142,9.4083,Hotel Il Gabbiano
469,Makakilo City,US,83.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
470,Matara,LK,77.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
471,Asyut,EG,87.98,clear sky,27.181,31.1837,Florence Hotel Assiut
473,Puerto Leguizamo,CO,82.71,scattered clouds,-0.1934,-74.7819,la casona de juancho
